"site","campaign","height_bin_num","height_mid_m","stem_SA_m2","flux_nmol_m2_s","total_flux_nmol_s","scenario"
"SRS5","Mar 2022",1,1.25,137.93032641,0,0,"zero_above_max"
"SRS5","Mar 2022",1.5,1.75,112.30752079,0,0,"zero_above_max"
"SRS5","Mar 2022",2,2.25,104.80543806,0,0,"zero_above_max"
"SRS5","Mar 2022",2.5,2.75,103.13717564,0,0,"zero_above_max"
"SRS5","Mar 2022",3,3.25,97.2843071,0,0,"zero_above_max"
"SRS5","Mar 2022",3.5,3.75,101.72916534,0,0,"zero_above_max"
"SRS5","Mar 2022",4,4.25,95.55579855,0,0,"zero_above_max"
"SRS5","Mar 2022",4.5,4.75,97.89035965,0,0,"zero_above_max"
"SRS5","Mar 2022",5,5.25,101.12305604,0,0,"zero_above_max"
"SRS5","Mar 2022",5.5,5.75,98.60312502,0,0,"zero_above_max"
"SRS5","Mar 2022",6,6.25,90.81221839,0,0,"zero_above_max"
"SRS5","Mar 2022",6.5,6.75,82.16338252,0,0,"zero_above_max"
"SRS5","Mar 2022",7,7.25,74.17819774,0,0,"zero_above_max"
"SRS5","Mar 2022",7.5,7.75,61.76272611,0,0,"zero_above_max"
"SRS5","Mar 2022",8,8.25,51.659799563,0,0,"zero_above_max"
"SRS5","Mar 2022",8.5,8.75,42.737087319,0,0,"zero_above_max"
"SRS5","Mar 2022",9,9.25,40.767775377,0,0,"zero_above_max"
"SRS5","Mar 2022",9.5,9.75,37.105875599,0,0,"zero_above_max"
"SRS5","Mar 2022",10,10.25,31.128182847,0,0,"zero_above_max"
"SRS5","Mar 2022",10.5,10.75,26.967752973,0,0,"zero_above_max"
"SRS5","Mar 2022",11,11.25,19.787765177,0,0,"zero_above_max"
"SRS5","Mar 2022",11.5,11.75,13.567057665,0,0,"zero_above_max"
"SRS5","Mar 2022",12,12.25,8.243451724,0,0,"zero_above_max"
"SRS5","Mar 2022",12.5,12.75,3.710412687,0,0,"zero_above_max"
"SRS5","Mar 2022",13,13.25,2.392276499,0,0,"zero_above_max"
"SRS5","Mar 2022",13.5,13.75,0.424985418,0,0,"zero_above_max"
"SRS5","Mar 2022",14,14.25,0.050380025,0,0,"zero_above_max"
"SRS6","Mar 2022",0,0.25,47.73429654,0.537798916097657,25.6714529398961,"zero_above_max"
"SRS6","Mar 2022",0.5,0.75,35.678437568,1.37726098904052,49.138520212324,"zero_above_max"
"SRS6","Mar 2022",1,1.25,103.33855613,0.190138890788043,19.6486784381961,"zero_above_max"
"SRS6","Mar 2022",1.5,1.75,103.03794731,0,0,"zero_above_max"
"SRS6","Mar 2022",2,2.25,92.56806634,0,0,"zero_above_max"
"SRS6","Mar 2022",2.5,2.75,78.89138387,0,0,"zero_above_max"
"SRS6","Mar 2022",3,3.25,82.93827841,0,0,"zero_above_max"
"SRS6","Mar 2022",3.5,3.75,68.7351061,0,0,"zero_above_max"
"SRS6","Mar 2022",4,4.25,68.78117328,0,0,"zero_above_max"
"SRS6","Mar 2022",4.5,4.75,71.89296102,0,0,"zero_above_max"
"SRS6","Mar 2022",5,5.25,69.34825828,0,0,"zero_above_max"
"SRS6","Mar 2022",5.5,5.75,73.0826153,0,0,"zero_above_max"
"SRS6","Mar 2022",6,6.25,71.63120025,0,0,"zero_above_max"
"SRS6","Mar 2022",6.5,6.75,67.44151417,0,0,"zero_above_max"
"SRS6","Mar 2022",7,7.25,65.2632522,0,0,"zero_above_max"
"SRS6","Mar 2022",7.5,7.75,66.76944564,0,0,"zero_above_max"
"SRS6","Mar 2022",8,8.25,64.54636338,0,0,"zero_above_max"
"SRS6","Mar 2022",8.5,8.75,63.6124659,0,0,"zero_above_max"
"SRS6","Mar 2022",9,9.25,66.36048152,0,0,"zero_above_max"
"SRS6","Mar 2022",9.5,9.75,65.80203365,0,0,"zero_above_max"
"SRS6","Mar 2022",10,10.25,64.85786297,0,0,"zero_above_max"
"SRS6","Mar 2022",10.5,10.75,58.13859212,0,0,"zero_above_max"
"SRS6","Mar 2022",11,11.25,55.182101038,0,0,"zero_above_max"
"SRS6","Mar 2022",11.5,11.75,52.560907426,0,0,"zero_above_max"
"SRS6","Mar 2022",12,12.25,45.375874789,0,0,"zero_above_max"
"SRS6","Mar 2022",12.5,12.75,37.425082277,0,0,"zero_above_max"
"SRS6","Mar 2022",13,13.25,31.191275642,0,0,"zero_above_max"
"SRS6","Mar 2022",13.5,13.75,25.433878339,0,0,"zero_above_max"
"SRS6","Mar 2022",14,14.25,20.495999416,0,0,"zero_above_max"
"SRS6","Mar 2022",14.5,14.75,19.232399134,0,0,"zero_above_max"
"SRS6","Mar 2022",15,15.25,15.532284152,0,0,"zero_above_max"
"SRS6","Mar 2022",15.5,15.75,12.90201222,0,0,"zero_above_max"
"SRS6","Mar 2022",16,16.25,9.452496987,0,0,"zero_above_max"
"SRS6","Mar 2022",16.5,16.75,8.741245562,0,0,"zero_above_max"
"SRS6","Mar 2022",17,17.25,5.382725622,0,0,"zero_above_max"
"SRS6","Mar 2022",17.5,17.75,2.194612892,0,0,"zero_above_max"
"SRS6","Mar 2022",18,18.25,0.582026786,0,0,"zero_above_max"
"SRS6","Mar 2022",18.5,18.75,0.085158838,0,0,"zero_above_max"
"CP40","Oct 2022",0,0.25,46.74574591,48.1445602462143,2250.55338021822,"zero_above_max"
"CP40","Oct 2022",0.5,0.75,28.95552353,4.48543925623689,129.878241926353,"zero_above_max"
"CP40","Oct 2022",1,1.25,23.20125921,0.6669491535089,15.4740601904501,"zero_above_max"
"CP40","Oct 2022",1.5,1.75,29.328222484,0,0,"zero_above_max"
"CP40","Oct 2022",2,2.25,26.96826386,0,0,"zero_above_max"
"CP40","Oct 2022",2.5,2.75,28.32326539,0,0,"zero_above_max"
"CP40","Oct 2022",3,3.25,22.64762369,0,0,"zero_above_max"
"CP40","Oct 2022",3.5,3.75,22.323977948,0,0,"zero_above_max"
"CP40","Oct 2022",4,4.25,21.659234474,0,0,"zero_above_max"
"CP40","Oct 2022",4.5,4.75,21.398478075,0,0,"zero_above_max"
"CP40","Oct 2022",5,5.25,19.995737916,0,0,"zero_above_max"
"CP40","Oct 2022",5.5,5.75,19.732948216,0,0,"zero_above_max"
"CP40","Oct 2022",6,6.25,19.194600626,0,0,"zero_above_max"
"CP40","Oct 2022",6.5,6.75,17.010922738,0,0,"zero_above_max"
"CP40","Oct 2022",7,7.25,14.48891203,0,0,"zero_above_max"
"CP40","Oct 2022",7.5,7.75,12.644456098,0,0,"zero_above_max"
"CP40","Oct 2022",8,8.25,15.232143672,0,0,"zero_above_max"
"CP40","Oct 2022",8.5,8.75,9.721603803,0,0,"zero_above_max"
"CP40","Oct 2022",9,9.25,7.785579611,0,0,"zero_above_max"
